,measurement_start_time,probe_asn,input,domain,explorer_url,dns,false,http-failure,tcp_ip
186,2018-05-27 02:14:57,4134,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180527T015558Z_AS4134_Meu1YjMkTqAaXk43vP9ygw5oINQ8FbEMDxLunDBWCFvrDhOSJ6?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
187,2018-05-27 02:31:40,4134,http://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180527T015558Z_AS4134_Meu1YjMkTqAaXk43vP9ygw5oINQ8FbEMDxLunDBWCFvrDhOSJ6?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
188,2018-05-27 02:31:40,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180527T015558Z_AS4134_Meu1YjMkTqAaXk43vP9ygw5oINQ8FbEMDxLunDBWCFvrDhOSJ6?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
189,2018-05-29 02:29:44,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180529T022940Z_AS4134_Yv9gZYcUQkSoS4VFYSR3fQCs1IYv8ZGmNWpsJJN5oULv8cLT6l?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
190,2018-06-02 04:42:27,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180602T044228Z_AS4134_HhrYAckU0KUotc21Zh28jwgJmL1IbxCzbK7ZHcZPSO4bi6zO0i?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
191,2018-06-03 09:24:19,4134,http://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180603T011906Z_AS4134_TjFHmat2yYvaBQHTBREANpYrOD3fhHadP66IM8hNXl3Wm35HnF?input=http%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
192,2018-06-03 09:24:23,4134,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180603T011906Z_AS4134_TjFHmat2yYvaBQHTBREANpYrOD3fhHadP66IM8hNXl3Wm35HnF?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
193,2018-06-03 09:35:41,4134,http://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180603T011906Z_AS4134_TjFHmat2yYvaBQHTBREANpYrOD3fhHadP66IM8hNXl3Wm35HnF?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
194,2018-06-03 09:35:42,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180603T011906Z_AS4134_TjFHmat2yYvaBQHTBREANpYrOD3fhHadP66IM8hNXl3Wm35HnF?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
195,2018-06-03 10:35:22,4134,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20180603T022506Z_AS4134_kdewuA31LImOPCpp2TV6qoXI4kXBNJpZ5EytIbzm2MvzLe8tCY?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,0.0,1.0,0.0,0.0
196,2018-06-03 10:37:02,4134,http://zh.wikipedia.org/wiki/wikipedia:%e9%a6%96%e9%a1%b5,zh.wikipedia.org,https://explorer.ooni.io/measurement/20180603T022506Z_AS4134_kdewuA31LImOPCpp2TV6qoXI4kXBNJpZ5EytIbzm2MvzLe8tCY?input=http%3A%2F%2Fzh.wikipedia.org%2Fwiki%2Fwikipedia%3A%25e9%25a6%2596%25e9%25a1%25b5,0.0,1.0,0.0,0.0
197,2018-06-05 03:28:34,23650,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180605T032813Z_AS23650_HeAvDikLvlNzg9GMDPsXShWm5MaCmZB5aoAhWPdUaH7TUp9p4K?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
198,2018-06-08 10:37:28,4812,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180608T103011Z_AS4812_ZSVjhVFYFQUUgzzHpZ2Q5D0oEnTYoKKPHYfehwEK2qp5HD1XPK?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
199,2018-06-28 11:56:02,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180628T115548Z_AS4134_kSQ8eZapsKMHTanNWHCbAb1GFk5pjUkAInrEr9Ho6aC9fDZytu?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
200,2018-07-16 10:55:16,24400,http://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
201,2018-07-16 10:55:19,24400,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
202,2018-07-16 11:17:35,24400,http://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=http%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
203,2018-07-16 11:17:37,24400,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
204,2018-07-18 06:51:11,4812,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180718T063540Z_AS4812_BXkElPm2fVMCaNUcDqOkAKtYoyEHTlc6DJ4tMSlGJQ6FO0Yamy?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
205,2018-07-18 07:57:55,4812,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180718T063540Z_AS4812_BXkElPm2fVMCaNUcDqOkAKtYoyEHTlc6DJ4tMSlGJQ6FO0Yamy?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
206,2018-07-25 13:59:12,4837,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180725T135822Z_AS4837_EEo3we9B0qXxqsAViuaKl3vcf9mibFuHCxEZshxrJ4JcyMUoDL?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
207,2018-07-26 17:15:14,9808,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180726T171506Z_AS9808_tx0dk1JPEOIP9S0v2vg8I29gqtAS4YaOJVrbgXQP6VCUxJyujR?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
208,2018-08-06 16:14:27,56046,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180806T161420Z_AS56046_P6ab3WIjdoQBiKPQXkJakoX6LAoPdaU0WUcc1F1XaoSd2Cgi9n?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
209,2018-08-07 17:48:06,56040,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180807T174725Z_AS56040_6OEPXNjwHYxeTM9DVyEj4DwgKRgE3tz7YmVcIBH8o1ccMWDzPq?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
210,2018-08-08 09:09:55,56040,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180808T090039Z_AS56040_AFJbjEuE2Fq3rpxS0VtadcbrlJbx470pRJzJZFFOWzVwECLBi3?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
211,2018-08-10 10:30:08,4134,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180810T103006Z_AS4134_xWLiZzBsNnB1WOzwrUxcmz7sJWpm9gFerngT2RLLuGXZVfRjme?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
212,2018-08-15 02:03:18,4837,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180815T020246Z_AS4837_3ZXJvXPdC3v8OrpPsK2y3q0IMUTlDihfkpG8LB7PLOHT4xDxxS?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
213,2018-09-11 00:06:25,4812,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180910T235442Z_AS4812_yPkNTDoZk3RZOh2gcQWZZDbnrEZrL3lm3YzTGfqVxwqphnJbHi?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
214,2018-09-16 17:38:12,0,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180916T173738Z_AS0_2ZCcozrgXk3XbFGumroXQm1LCHAkrWrZJfrHZrBr50G0uB5C2w?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
215,2018-09-18 22:33:08,56047,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180918T223254Z_AS56047_0oBqBqhsjZHfXdp5EtfAwHBjtSnZVfIeShv2ehu7Lwi6TLnnpy?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
216,2018-10-15 05:08:09,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20181015T050755Z_AS4134_594ppjDSvawleTReqSIGrhtEk0BNpi7cL1shgDwavRueAQmqzl?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
217,2018-10-17 03:05:09,4134,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20181017T030044Z_AS4134_tztrNVs1yLBozVSNrsHaS1obz0QEIrKld0rxugq1foGy2qvMc6?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
218,2018-10-18 01:00:54,56041,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20181018T004429Z_AS56041_MBG9barGaEGN0Ofc3egSmyAwamqudb8QBs6NF0ONgRrq5XgZyQ?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
219,2018-10-29 16:52:40,56041,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20181029T165231Z_AS56041_0PaYFSsBHXrlHhOrY39duafGkumTKiCMRf5NBlF9tale1FlbrE?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
220,2018-12-19 07:46:22,4808,https://ru.wikipedia.org/,ru.wikipedia.org,https://explorer.ooni.io/measurement/20181219T074603Z_AS4808_abo2rd9IoJyfzdtiGrPfpYR7CbyohyQ5tAtbIfaQW2sDNGs8Q5?input=https%3A%2F%2Fru.wikipedia.org%2F,0.0,1.0,0.0,0.0
221,2019-01-02 10:26:52,9808,http://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190102T085146Z_AS9808_TLYBMjstgmIVI8653idYZEtqT6u1m0qfMDGhN9QqKDAo5lgr6v?input=http%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
222,2019-01-02 10:26:55,9808,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190102T085146Z_AS9808_TLYBMjstgmIVI8653idYZEtqT6u1m0qfMDGhN9QqKDAo5lgr6v?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
223,2019-01-08 03:28:57,4134,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190108T032857Z_AS4134_agEYD1R4qCaEdduQo3HXBklc99cde0Q3MkYj2F9LSFmcPjeFXy?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
224,2019-01-13 12:16:13,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20190113T121523Z_AS4134_bd3uEewYoe8sQKoxsL1HNPV9lxNESXJZ3ykf8YC8GA0jMYF8o0?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
225,2019-01-17 07:15:53,4808,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190117T071522Z_AS4808_aHcixJcvOpilHtUOpPa0nj0UoclW7NaT570E912mID8WlMk9We?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
226,2019-01-26 02:19:28,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20190126T021928Z_AS4134_mSCztGR9SGsviFsTlOnxrhZFK6kJJHDdjN6RRh6tZYTW1oVXaF?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
227,2019-01-28 22:35:26,4837,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20190128T223519Z_AS4837_bxDvKlTmkvQXO7A2fR90kHvdqEmVCLstg1EjGdbBtfmMqmcDFE?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,0.0,0.0,1.0,0.0
228,2019-02-01 15:59:43,4837,https://en.wikipedia.org/,en.wikipedia.org,https://explorer.ooni.io/measurement/20190201T155924Z_AS4837_OCB57jv9qjIXXOFPOEVrEOGrxssmw8iVLXJ22inqyXz2o0XfBE?input=https%3A%2F%2Fen.wikipedia.org%2F,0.0,1.0,0.0,0.0
229,2019-02-02 06:15:28,4837,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190202T061512Z_AS4837_OQyypqNxKT03HF7ZJrIvXcMbLWpTWRDvIqHsukTP1L6fXykX8B?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
230,2019-02-04 04:30:48,45102,https://fr.wikipedia.org/,fr.wikipedia.org,https://explorer.ooni.io/measurement/20190204T043014Z_AS45102_FKbropub1ibTeDjnXVXXLjBfVibPp1kI9kKuKYz7VrA1BvVQJP?input=https%3A%2F%2Ffr.wikipedia.org%2F,0.0,1.0,0.0,0.0
231,2019-02-05 14:00:03,45102,https://en.wikipedia.org/,en.wikipedia.org,https://explorer.ooni.io/measurement/20190205T140004Z_AS45102_1oKo6644CDJAQB9lBqAEJBXmJUiZ8upWw28FopcNhFju50PW0h?input=https%3A%2F%2Fen.wikipedia.org%2F,0.0,1.0,0.0,0.0
232,2019-02-07 04:37:17,56041,https://ca.wikipedia.org/,ca.wikipedia.org,https://explorer.ooni.io/measurement/20190207T043647Z_AS56041_HvhKMOHsIBlOQfZlkVRXiLU3SS9z9DAOB2mA2ePOBRLCFcWOQA?input=https%3A%2F%2Fca.wikipedia.org%2F,0.0,1.0,0.0,0.0
233,2019-02-07 15:47:06,4837,https://it.wikipedia.org/,it.wikipedia.org,https://explorer.ooni.io/measurement/20190207T154707Z_AS4837_RY9BFxYp5l9aTJJQMBkS8XL0JpZNA9WATC1mXt886xm6GGJqsS?input=https%3A%2F%2Fit.wikipedia.org%2F,0.0,1.0,0.0,0.0
234,2019-02-08 01:46:46,4837,https://en.wikipedia.org/,en.wikipedia.org,https://explorer.ooni.io/measurement/20190208T014542Z_AS4837_cVNqgbRbBxlaoxyiuntw0iZebPLRys6RauhyoP4JFImXJ5uT5t?input=https%3A%2F%2Fen.wikipedia.org%2F,0.0,1.0,0.0,0.0
235,2019-02-10 21:38:48,4134,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190210T213849Z_AS4134_KstqnkEYZEKIn9oIbJMSwKGpw5YPOu6nD8xIvQrnJQY9wInmR5?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
236,2019-02-12 14:15:33,4134,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190212T141448Z_AS4134_CkQ8awuJNNiD1Ls5tyGuqhwyveNIHtSh86u8RMDO3G75MwbURb?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
237,2019-02-14 07:05:52,4134,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20190214T070335Z_AS4134_NsrOtymxmJriBq60CUJMePIkF0hH5T9gskxWJSZA7Djju2oJ4k?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,1.0,0.0,0.0,0.0
238,2019-02-14 08:18:30,4134,http://zh.wikipedia.org/wiki/wikipedia:%e9%a6%96%e9%a1%b5,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190214T070335Z_AS4134_NsrOtymxmJriBq60CUJMePIkF0hH5T9gskxWJSZA7Djju2oJ4k?input=http%3A%2F%2Fzh.wikipedia.org%2Fwiki%2Fwikipedia%3A%25e9%25a6%2596%25e9%25a1%25b5,1.0,0.0,0.0,0.0
239,2019-02-14 08:44:02,4134,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20190214T084114Z_AS4134_bFQwRbRVl1Mwoi0GkH8eVs7xOrkqqPXVu0XkZgItkCfWKl3TKK?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,1.0,0.0,0.0,0.0
240,2019-02-14 09:54:06,4134,http://zh.wikipedia.org/wiki/wikipedia:%e9%a6%96%e9%a1%b5,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190214T084114Z_AS4134_bFQwRbRVl1Mwoi0GkH8eVs7xOrkqqPXVu0XkZgItkCfWKl3TKK?input=http%3A%2F%2Fzh.wikipedia.org%2Fwiki%2Fwikipedia%3A%25e9%25a6%2596%25e9%25a1%25b5,1.0,0.0,0.0,0.0
241,2019-02-16 13:19:06,4808,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190216T131835Z_AS4808_yCqkcMq1PQx8Mkfy8sCydQ5UGZkJt7jGSbm0GcN9M9U6KmTJF8?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
242,2019-02-17 17:15:12,4837,https://it.wikipedia.org/,it.wikipedia.org,https://explorer.ooni.io/measurement/20190217T171513Z_AS4837_3QvuTRxFxH9I65o4s3Jc7fs1yp58u8IKn8xznVQlyvrZfCJ0Bh?input=https%3A%2F%2Fit.wikipedia.org%2F,0.0,1.0,0.0,0.0
243,2019-02-18 08:23:48,4134,https://zh.wikipedia.org,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190218T082348Z_AS4134_qhG9tSWy4dwh7YbPiuTG0fATue1WvSGsIivQnuTmvPTkNi80GD?input=https%3A%2F%2Fzh.wikipedia.org,1.0,0.0,0.0,0.0
244,2019-02-18 08:25:39,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20190218T081331Z_AS4134_2CoUgy8tf1A7DF2JZNghiXWuK7ndJRnTVHsnWTTVjkJFDb1mcd?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
245,2019-02-18 11:45:27,4837,https://es.wikipedia.org/,es.wikipedia.org,https://explorer.ooni.io/measurement/20190218T114444Z_AS4837_AaouSGAwIgXCxPzSU1GrLaJItcoqs72MRK9LjdfK9NlPLZShid?input=https%3A%2F%2Fes.wikipedia.org%2F,0.0,1.0,0.0,0.0
246,2019-02-22 07:24:28,4837,https://pt.m.wikipedia.org/,pt.m.wikipedia.org,https://explorer.ooni.io/measurement/20190222T072405Z_AS4837_R3md2KpfCFl1bwRGSypg5gtci23lAgPSD5FXU9Ol5hRdaz9GBG?input=https%3A%2F%2Fpt.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
247,2019-02-23 00:04:24,4837,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190223T000411Z_AS4837_IGF6xcU5anmkIR1B5KqTbwwHOzfDhXXmQQeFoG6Zk00NmsiYhp?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
248,2019-02-24 02:13:31,4808,https://pt.m.wikipedia.org/,pt.m.wikipedia.org,https://explorer.ooni.io/measurement/20190224T021231Z_AS4808_txgwQICmd5fUzEBIcXoEky2v0TX7YVUtiUbflJlSatCydZsZKs?input=https%3A%2F%2Fpt.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
249,2019-02-25 03:09:10,4837,https://en.m.wikipedia.org/,en.m.wikipedia.org,https://explorer.ooni.io/measurement/20190225T030805Z_AS4837_7ytCPQChfdSiEOM5PaiTZjXLZUIcfyR3bextxU4XihE61Curzw?input=https%3A%2F%2Fen.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
