input,catcode
http://www.moderndrunkardmagazine.com,ALDR
http://blockedsiteaccess.com,ANON
http://kproxy.com/index.jsp,ANON
http://indianproxy.com,ANON
http://proxy.computersteroids.com/index0.php,ANON
http://stop-block.com,ANON
http://www.allunblocker.com,ANON
http://www.anonypost.com,ANON
http://www.blockedsiteaccess.com,ANON
http://www.brawl-hall.com/pages/proxy.php,ANON
http://www.canhide.com,ANON
http://www.freeproxysite.com,ANON
http://www.hujiko.com,ANON
http://www.ipzap.com,ANON
http://www.kproxy.com,ANON
http://www.mywebtunnel.com,ANON
http://www.nopath.com,ANON
http://www.proxify.co.uk,ANON
http://www.proxify.info,ANON
http://www.proxyblind.org,ANON
http://www.myninjaproxy.info,ANON
http://www.satyaboutique.com,ANON
http://www.squidoo.com/proxyfacebook,ANON
http://www.surfonym.com/cgi-bin/nph-proxy,ANON
http://www.switchproxy.com,ANON
http://www.thewebtunnel.com,ANON
http://www.sneakysurf.com,ANON
http://www.yourfreeproxy.com,ANON
http://www.peoplesproxy.com,ANON
http://www.proxyweb.net,ANON
http://flyproxy.com,ANON
http://www.facebookproxy.org,ANON
http://www.feo-online.org,ANON
http://www.gimia.com,ANON
http://www.Jtunnel.com,ANON
http://www.proxify.net,ANON
http://jtunnel.com,ANON
http://surfshield.net,ANON
http://unblock-me.org,ANON
http://www.kproxy.com.,ANON
http://www.proxify.org,ANON
http://www.unblock-me.org,ANON
http://www.unblockbook.net,ANON
http://accesstoblockedsites.com/browse.php?u=Oi8vd3d3LmFsbGZyZWVtb3ZpZXMuY29t&b=5&f=norefer,ANON
http://www.unblockfacebooknow.com,ANON
http://anonymouse.ws/anonwww.html,ANON
http://mrnewguy.com,ANON
http://proxify.com,ANON
http://dcemail.com,COMT
http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,CULTR
http://creepingsharia.wordpress.com/mohammed-cartoon-collection/,CULTR
http://drawmohammadday.blogspot.com,CULTR
http://gatesofvienna.blogspot.com/2010/04/may-20-first-annual-everybody-draw.html,CULTR
http://www.zrombesh.org,CULTR
http://www.angelfire.com,CULTR
http://www.drawmuhammadday.com,CULTR
http://www.datingdirect.com,DATE
http://adultfriendfinder.com,DATE
http://www.match.com,DATE
http://peta.xxx,ENV
http://www.betfair.com,GMB
http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address=389x8208802,GRP
http://forum.detik.com/showthread.php?p=10423116,GRP
http://www.711chan.org/i/,GRP
http://www.secularstudents.org/drawingtheprophet,GRP
http://www.makeuseof.com,HACK
http://www.rotten.com,HATE
http://www.BalochVoice.com,HOST
http://balochwarna.org,HUMR
http://en.wikipedia.org/wiki/Freedom_of_speech_versus_blasphemy,HUMR
http://www.bso-na.org,HUMR
http://www.faithfreedom.org,HUMR
http://www.faithfreedom.org/Gallery/28.htm,HUMR
http://www.hazara.net,HUMR
http://www.onejerusalem.com/2005/12/26/draw-mohammed-and-win-a-scholarship-to-the-art-college-of-your-choice/,HUMR
http://www.ostomaan.org,HUMR
http://guerrillagirls.com,HUMR
http://www.radiobalochi.org,HUMR
http://governmentofbalochistan.blogspot.com,HUMR
http://lalmasjid.com,HUMR
http://www.BalochFront.com,HUMR
http://www.balochunitedfront.org,HUMR
http://www.gay.com,LGBT
http://www.queerty.com,LGBT
http://www.tsroadmap.com,LGBT
http://www.gayhealth.com,LGBT
http://jamatdawa.org,MILX
http://imgur.com/1AHlc?full,MMED
http://last.fm,MMED
http://www.videovat.com,MMED
http://www.ebaumsworld.com,MMED
http://atlasshrugs2000.typepad.com/atlas_shrugs/oic_oppresion_and_submission/,NEWS
http://www.balochwarna.com,NEWS
http://www.mynorthwest.com/?nid=11&sid=313170,NEWS
http://www.thebalochhal.com,NEWS
http://www.youtube.com/watch?v=s5rpstly394&feature=related&#194,NEWS
http://www.365gay.com,NEWS
http://libertypundits.net/article/awesome-first-annual-everybody-draw-mohammad-day/,NEWS
http://creepingsharia.wordpress.com/2010/04/26/cartoonist-behind-everybody-draw-mohammed-day-poster-getting-nervous/,POLR
http://cryptome.org/muhammad.htm,POLR
http://michellemalkin.com,POLR
http://www.hizb.org.uk,POLR
http://www.hizb-ut-tahrir.org,POLR
http://www.khilafah.com,POLR
http://zombietime.com,POLR
http://www.zombietime.com,POLR
http://playboy.com,PORN
http://porn.xxx,PORN
http://sex.xxx,PORN
http://8thstreetlatinas.com,PORN
http://bravotube.net,PORN
http://coolgaylinks.com,PORN
http://famousnudes.com,PORN
http://hardsextube.com,PORN
http://hotgaylist.com,PORN
http://manhub.com,PORN
http://milfhunter.com,PORN
http://pornhub.com,PORN
http://pridetube.com,PORN
http://redtube.com,PORN
http://spankwire.com,PORN
http://www.89.com,PORN
http://www.amateurpages.com,PORN
http://www.famouspornstars.com,PORN
http://www.femalestars.com,PORN
http://www.fuckingfreemovies.com,PORN
http://www.gotgayporn.com,PORN
http://www.hereistheporn.com,PORN
http://www.lesbiansubmission.com,PORN
http://www.livejasmin.com,PORN
http://www.naughty.com,PORN
http://www.penisbot.com,PORN
http://www.persiankitty.com,PORN
http://www.playboy.com,PORN
http://www.purextc.com,PORN
http://www.sex.com,PORN
http://www.worldsex.com,PORN
http://www.youngerbabes.com,PORN
http://xvideos.com,PORN
http://youporn.com,PORN
http://youjizz.com,PORN
http://rockettube.com,PORN
http://conan.xxx,PORN
http://hustler.com,PORN
http://www.crazyshit.com,PORN
http://www.hustler.com,PORN
http://www.wetplace.com,PORN
http://alt.com,PORN
http://beeg.com,PORN
http://realdoll.com,PORN
http://www.ashemaletube.com,PORN
http://www.babylon-x.com,PORN
http://www.penthouse.com,PORN
http://xhamster.com,PORN
http://www.youporn.com/,PORN
http://www.purenudism.net,PROV
http://www.3wishes.com,PROV
http://www.altpenis.com,PUBH
http://www.implantinfo.com,PUBH
http://www.no-porn.com,PUBH
http://atheism.about.com/od/prophetmuhammadofislam/ig/Muhammad-Drawings-Pictures/,REL
http://dreamdogsart.typepad.com/art/2010/05/lars-vilks-muhammad-cartoon-dog-artist-attacked.html,REL
http://en.wikipedia.org/wiki/File:Jyllands-Posten-pg3-article-in-Sept-30-2005-edition-of-KulturWeekend-entitled-Muhammeds-ansigt.png,REL
http://en.wikipedia.org/wiki/Everybody_Draw_Mohammed_Day,REL
http://en.wikipedia.org/wiki/gabriel,REL
http://en.wikipedia.org/wiki/Jyllands-Posten_Muhammad_cartoons_controversy,REL
http://en.wikipedia.org/wiki/Lars_Vilks_Muhammad_drawings_controversy,REL
http://en.wikipedia.org/wiki/Muhammad,REL
http://en.wikipedia.org/wiki/Mohammad,REL
http://europenews.dk/en/node/32286,REL
http://friendlyatheist.com/2010/05/20/draw-muhammad-day-a-compilation/,REL
http://islam-watch.org,REL
http://twitter.com/ProphetMuhammad,REL
http://www.abovetopsecret.com/forum/thread564561/pg1,REL
http://everybodydrawmohammedday.wordpress.com,REL
http://face-of-muhammed.blogspot.com,REL
http://islamizationwatch.blogspot.com/2010/04/everybody-draw-mohammed-day-grows-in.html,REL
http://www.bibleprobe.com/muhammad-cartoons.htm,REL
http://www.buzzfeed.com/robertlangdon/the-prophet-muhammad-in-a-bear-suit-express-you,REL
http://www.cagle.com/news/muhammad/,REL
http://www.islam-watch.org,REL
http://www.sodahead.com/united-states/seattle-cartoonist-launches-everybody-draw-mohammed-day-you-in/question-984209/,REL
http://www.youtube.com/watch?v=0T9UhBhTl9Q&feature=related,REL
http://www.youtube.com/watch?v=1Wu5e50zrPA&feature=fvst,REL
http://www.youtube.com/watch?v=2L2ouAN770U&feature=related,REL
http://www.youtube.com/watch?v=3sD-1-1sbik,REL
http://www.youtube.com/watch?v=43LMQXYhyt0&feature=related,REL
http://www.youtube.com/watch?v=a4yfG5dAZdU,REL
http://www.youtube.com/watch?v=AMRaxkgCUfI&feature=related,REL
http://www.youtube.com/watch?v=hKJtedW9KN4&feature=related,REL
http://www.youtube.com/watch?v=KlYLKf4q2rg,REL
http://www.youtube.com/watch?v=LyKdYTzMqWo&feature=related,REL
http://www.youtube.com/watch?v=nycuLpw0VV8&feature=related,REL
http://www.youtube.com/watch?v=OMz0aIM2_sM,REL
http://www.youtube.com/watch?v=pDrti5T93T8,REL
http://www.youtube.com/watch?v=s5rPSTLy394&NR=1,REL
http://www.youtube.com/watch?v=s5rPSTLy394&feature=related?http://www.xroxy.com/,REL
http://www.youtube.com/watch?v=XJMlgmwHN9E,REL
http://www.youtube.com/watch?v=z7ok4njJXI8,REL
http://www.youtube.com/watch?v=Zsv1SToU1xo&feature=related,REL
http://www.zimbio.com/War+on+Terrorism/articles/6NAIGjWobep/WASHINGTON+POST+Seattle+cartoonist+Molly+Norris,REL
http://www.zombietime.com/mohammed_image_archive/,REL
https://barenakedislam.wordpress.com/2010/05/02/muslim-hackers-get-their-filthy-finger-licken-hands-on-kfc-website/,REL
http://www.prophetofdoom.net,REL
http://www.drawmohammed.com,REL
http://twitter.com/MuhammadtheProp,REL
http://www.jihadwatch.org,REL
http://www.sexualhealth.com,XED
http://www.itsyoursexlife.com,XED
http://www.scarleteen.com,XED
